value_ex_tax,units,item_name,sku,day
150.00,6,USB missile launcher (Green),1,2016-04-15
1176.00,10,USB food flash drive - dim sum 10 drive variety pack,8,2016-04-14
256.00,8,USB food flash drive - pizza slice,7,2016-04-14
486.40,22,USB food flash drive - hamburger,5,2016-04-14
403.20,16,USB food flash drive - sushi roll,4,2016-04-14
125.00,5,USB rocket launcher (Gray),2,2016-04-14
108.00,3,USB food flash drive - dim sum 10 drive variety pack,8,2016-04-13
288.00,9,USB food flash drive - hot dog,6,2016-04-13
192.00,6,USB food flash drive - sushi roll,4,2016-04-13
3885.00,210,Office cube periscope (Black),3,2016-04-13
200.00,8,USB rocket launcher (Gray),2,2016-04-13
11.25,3,USB missile launcher (Green),1,2016-04-13
28.80,6,USB food flash drive - pizza slice,7,2016-04-12
3120.00,13,USB food flash drive - dim sum 10 drive variety pack,8,2016-04-11
4.80,1,USB food flash drive - pizza slice,7,2016-04-11
19.20,4,USB food flash drive - hot dog,6,2016-04-11
96.00,3,USB food flash drive - hamburger,5,2016-04-11
363.20,19,USB food flash drive - sushi roll,4,2016-04-11
4255.00,230,Office cube periscope (Black),3,2016-04-11
262.50,19,USB rocket launcher (Gray),2,2016-04-11
375.00,15,USB missile launcher (Green),1,2016-04-11
720.00,3,USB food flash drive - dim sum 10 drive variety pack,8,2016-04-09
864.00,27,USB food flash drive - pizza slice,7,2016-04-09
320.00,10,USB food flash drive - hamburger,5,2016-04-09
2035.00,110,Office cube periscope (Black),3,2016-04-09
576.00,16,USB food flash drive - dim sum 10 drive variety pack,8,2016-04-08
203.20,14,USB food flash drive - pizza slice,7,2016-04-08
256.00,8,USB food flash drive - hot dog,6,2016-04-08
14.40,3,USB food flash drive - hamburger,5,2016-04-08
384.00,12,USB food flash drive - sushi roll,4,2016-04-08
200.00,8,USB missile launcher (Green),1,2016-04-08
3120.00,13,USB food flash drive - dim sum 10 drive variety pack,8,2016-04-07
14.40,3,USB food flash drive - pizza slice,7,2016-04-07
64.00,2,USB food flash drive - hot dog,6,2016-04-07
38.40,8,USB food flash drive - hamburger,5,2016-04-07
256.00,8,USB food flash drive - sushi roll,4,2016-04-07
740.00,40,Office cube periscope (Black),3,2016-04-07
18.75,5,USB rocket launcher (Gray),2,2016-04-07
25.00,1,USB missile launcher (Green),1,2016-04-07
1200.00,5,USB food flash drive - dim sum 10 drive variety pack,8,2016-04-06
267.20,16,USB food flash drive - hamburger,5,2016-04-06
1665.00,90,Office cube periscope (Black),3,2016-04-06
272.00,17,USB food flash drive - hamburger,5,2016-04-05
14.40,3,USB food flash drive - sushi roll,4,2016-04-05
925.00,50,Office cube periscope (Black),3,2016-04-05
64.00,2,USB food flash drive - hot dog,6,2016-04-04
925.00,50,Office cube periscope (Black),3,2016-04-04
358.75,22,USB missile launcher (Green),1,2016-04-04
252.00,7,USB food flash drive - dim sum 10 drive variety pack,8,2016-04-02
24.00,5,USB food flash drive - sushi roll,4,2016-04-02
30.00,8,USB rocket launcher (Gray),2,2016-04-02
100.00,4,USB missile launcher (Green),1,2016-04-02
480.00,2,USB food flash drive - dim sum 10 drive variety pack,8,2016-04-01
576.00,18,USB food flash drive - sushi roll,4,2016-04-01
1480.00,80,Office cube periscope (Black),3,2016-04-01
