date,product_id,product_name,quantity,sales_ex_tax
2016-04-11,7,USB food flash drive - pizza slice,1,4.80
2016-04-11,8,USB food flash drive - dim sum 10 drive variety pack,13,3120.00
2016-04-12,7,USB food flash drive - pizza slice,6,28.80
2016-04-13,1,USB missile launcher (Green),3,11.25
2016-04-13,2,USB rocket launcher (Gray),8,200.00
2016-04-13,3,Office cube periscope (Black),210,3885.00
2016-04-13,4,USB food flash drive - sushi roll,6,192.00
2016-04-13,6,USB food flash drive - hot dog,9,288.00
2016-04-13,8,USB food flash drive - dim sum 10 drive variety pack,3,108.00
2016-04-14,2,USB rocket launcher (Gray),5,125.00
2016-04-14,4,USB food flash drive - sushi roll,16,403.20
2016-04-14,5,USB food flash drive - hamburger,22,486.40
2016-04-14,7,USB food flash drive - pizza slice,8,256.00
2016-04-14,8,USB food flash drive - dim sum 10 drive variety pack,10,1176.00
2016-04-15,1,USB missile launcher (Green),6,150.00
2016-04-15,2,USB rocket launcher (Gray),13,155.00
2016-04-15,3,Office cube periscope (Black),250,4625.00
2016-04-15,4,USB food flash drive - sushi roll,8,38.40
2016-04-15,6,USB food flash drive - hot dog,9,288.00
2016-04-15,7,USB food flash drive - pizza slice,27,864.00
2016-04-15,8,USB food flash drive - dim sum 10 drive variety pack,4,960.00
2016-04-16,5,USB food flash drive - hamburger,9,43.20
2016-04-16,6,USB food flash drive - hot dog,10,320.00
2016-04-16,7,USB food flash drive - pizza slice,6,28.80
2016-04-16,8,USB food flash drive - dim sum 10 drive variety pack,6,1440.00
2016-04-18,1,USB missile launcher (Green),2,7.50
2016-04-18,2,USB rocket launcher (Gray),6,22.50
2016-04-18,3,Office cube periscope (Black),70,1295.00
2016-04-18,5,USB food flash drive - hamburger,18,576.00
2016-04-18,6,USB food flash drive - hot dog,9,97.60
2016-04-18,7,USB food flash drive - pizza slice,6,192.00
2016-04-18,8,USB food flash drive - dim sum 10 drive variety pack,10,972.00
2016-04-19,1,USB missile launcher (Green),8,30.00
2016-04-19,2,USB rocket launcher (Gray),7,175.00
2016-04-19,6,USB food flash drive - hot dog,21,454.40
2016-04-19,7,USB food flash drive - pizza slice,5,160.00
2016-04-19,8,USB food flash drive - dim sum 10 drive variety pack,12,432.00
2016-04-20,1,USB missile launcher (Green),7,175.00
2016-04-20,3,Office cube periscope (Black),100,1850.00
2016-04-20,4,USB food flash drive - sushi roll,2,64.00
2016-04-20,6,USB food flash drive - hot dog,2,9.60
2016-04-21,1,USB missile launcher (Green),20,266.25
2016-04-21,3,Office cube periscope (Black),30,555.00
2016-04-21,4,USB food flash drive - sushi roll,7,224.00
2016-04-21,5,USB food flash drive - hamburger,3,96.00
2016-04-21,7,USB food flash drive - pizza slice,3,14.40
2016-04-21,8,USB food flash drive - dim sum 10 drive variety pack,23,2052.00
2016-04-22,1,USB missile launcher (Green),19,305.00
2016-04-22,2,USB rocket launcher (Gray),2,50.00
2016-04-22,4,USB food flash drive - sushi roll,1,32.00
2016-04-22,5,USB food flash drive - hamburger,2,64.00
2016-04-22,6,USB food flash drive - hot dog,1,32.00
2016-04-22,7,USB food flash drive - pizza slice,6,192.00
2016-04-23,1,USB missile launcher (Green),4,100.00
2016-04-25,1,USB missile launcher (Green),20,287.50
2016-04-25,3,Office cube periscope (Black),60,1110.00
2016-04-25,5,USB food flash drive - hamburger,7,196.80
2016-04-25,8,USB food flash drive - dim sum 10 drive variety pack,7,1680.00
2016-04-26,1,USB missile launcher (Green),5,125.00
2016-04-26,3,Office cube periscope (Black),90,1665.00
2016-04-26,7,USB food flash drive - pizza slice,3,96.00
2016-04-26,8,USB food flash drive - dim sum 10 drive variety pack,12,2880.00
2016-04-27,1,USB missile launcher (Green),7,26.25
2016-04-27,3,Office cube periscope (Black),190,3515.00
2016-04-27,4,USB food flash drive - sushi roll,1,32.00
2016-04-27,5,USB food flash drive - hamburger,2,9.60
2016-04-27,6,USB food flash drive - hot dog,3,14.40
2016-04-27,7,USB food flash drive - pizza slice,1,32.00
2016-04-28,1,USB missile launcher (Green),13,325.00
2016-04-28,2,USB rocket launcher (Gray),16,251.25
2016-04-28,3,Office cube periscope (Black),120,2220.00
2016-04-28,4,USB food flash drive - sushi roll,39,1030.40
2016-04-28,5,USB food flash drive - hamburger,8,256.00
2016-04-28,6,USB food flash drive - hot dog,3,96.00
2016-04-28,7,USB food flash drive - pizza slice,9,70.40
2016-04-28,8,USB food flash drive - dim sum 10 drive variety pack,18,4320.00
